Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
metin gökkoca,5.0,"This is our 5th visit and it's excellent in every way. I definitely recommend it.

We would also like to thank Ms. Ayşenur at Fox Bar for her attentiveness and friendliness.",Edited 12 hours ago,2026-08-03,,"Dear Guest,

First of all, thank you for choosing our hotel for your holiday and for taking the time to write your review.

All your comments are important to us at Adora Hotel & Resort. They encourage us to improve and become better. We strive to provide you, our valued guests, with impeccable service.

We are delighted to have hosted you and wish you a healthy and peaceful year with your loved ones.

Sincerely,

The Adora Hotel & Resort Family",4 reviews,Ci9DQUlRQUNvZENodHljRjlvT25BeFYzTlJNVTFWWkRGQ2NHdE9OMnN6UkRkamIzYxAB
Анна Калинина,5.0,"Everything was fantastic! The service, the food, the hospitality! Absolutely fantastic!

I'd especially like to praise Damla. She helped us book a restaurant reservation and maintained an interesting and lively conversation. Everything was simply fantastic! Our family was thrilled!",13 hours ago,2026-08-03,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tVdGR5MDFOWEJ3TUV3d0xUUmlaRWQ0ZGtSNWVIYxAB
elena graf,5.0,"We spent our family vacation at the hotel. It was lovely. The grounds were spacious and well-organized, but not too large, unlike some other hotels we've stayed at in Turkey. There was plenty of delicious food. You could even grab a bite to eat at the bar at night. The pool was never crowded, and there was plenty of space on the beach as well. A particularly nice feature was that there were always sun loungers available, both on the beach and by the pool.

To top it all off, we had a wonderful dinner on the rooftop terrace at the Sehrazat restaurant. The food was also delicious, and the service was excellent. Many thanks to Ida! 😊",13 hours ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT25oUk5YWTBTRTgwYm01M2VsOXhhRTh5ZUhOUlFXYxAB
Светлана Токарева,5.0,"This is our first time at the ADORA Hotel. My grandchildren, daughter, and I are enjoying a wonderful summer vacation on the Mediterranean coast. The stay is so pleasant and relaxing that we want to come back again. The hotel's entertainment staff keeps us busy all day long and never lets us get bored. The hotel's service staff is wonderful and friendly. Ida is always helpful and accommodating. We also visited the SEHRAZAT restaurant. The view of the hotel and the sea from the 7th floor is magnificent. The food is exquisite and the service is excellent. WE WILL DEFINITELY BE BACK. With love from Yekaterinburg.",13 hours ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT2taRmFtVmlWWE5GUVVFeWVHRlVXV2RPUzFwbFYwRRAB
Jana Vargová,5.0,,13 hours ago,2026-08-03,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2xReFQyRXlZM0ppVlhkM1dIcFJhbGxsTFRKQlUyYxAB
Eugen Hi,5.0,"We highly recommend this hotel. This is our second time staying here, and we always enjoy coming back. It's clean and the staff are very attentive. The Kids Club does a fantastic job.

The à la carte dining, with its stunning view, is a wonderful way to end the holiday – the view was absolutely beautiful. Ida and Hasan were very friendly and welcoming staff members.",14 hours ago,2026-08-03,,,7 reviews · 4 photos,Ci9DQUlRQUNvZENodHljRjlvT2xoMWJrVkRkblU0ZUhob2VFOW9NVk52UkdobVNVRRAB
Olga Lindt,5.0,"Very good hotel, highly recommended.",14 hours ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT2t0U2QzUnBiRk5yWWxKd0xYRlhiRlk0U21reVdFRRAB
Марина Сараева,5.0,"I loved the Mezzetto restaurant! The staff was pleasant and friendly, and the waiter, Ahmed, was very understanding and helpful. The seafood was delicious: squid and shrimp. The pumpkin dessert was delicious too.",14 hours ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT21WMFZVdHlabTVFZGtkRVQyMDFSbGcxY2pOWGNGRRAB
Alex Lagutin,5.0,"The place is great. The location is very close to the beach, the service is perfectly fine, we liked everything.
Big thanks to Damla",Edited 14 hours ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT25aek1IZHlUR05QYmtwVFVYbGZNSEp0ZVVFeVUzYxAB
Berfin Turan,5.0,"We have been happily coming to this hotel for three years and we enjoy it to the fullest. We have a very pleasant and fun time with both our families and friends. The animation team and baristas are very sweet, especially Mr. Muhammet and Mr. Ayşenur, they are very good at their jobs and very friendly. Mr. Doğu was attentive and caring towards us throughout our entire holiday, we thank him very much as well. Thank you to the entire hotel team ❤️",18 hours ago,2026-08-03,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2xjd1RXWlliWGxLT0ZsVVNFMU1OMlpxT0UxblJIYxAB
Eymen Koc,5.0,"We are currently spending our vacation at the Adora Resort Hotel and are very satisfied. The hotel is very clean and well-maintained. The staff is friendly, attentive, and always helpful. The food is varied and delicious – there's something for everyone. The pool area and the beach are beautiful and perfect for relaxing. The entertainment program is also fun and creates a great atmosphere. Overall, we feel very comfortable here and are enjoying our stay. We would definitely recommend the Adora Resort Hotel and would love to come back!",20 hours ago,2026-08-03,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tkUGJEbG5iRVZuWHkxbU0zWmxUMmxZVG5kcVRtYxAB
Ömer kaya,5.0,"We are completely satisfied! Everything was perfect – the room was clean, the staff very friendly and helpful, the food delicious, and the overall atmosphere pleasant. We thoroughly enjoyed our stay and can wholeheartedly recommend this hotel. Thank you for the excellent service!",20 hours ago,2026-08-03,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT214bFMxOXJRVlZETVZaS1R6WXlkbTE2TVZsRlpHYxAB
Ufuk Kaygisiz,5.0,"We stayed at the Adora Hotel in Antalya and had a wonderful holiday. The hotel is very clean and well-maintained. The food was varied and delicious, so everyone could find something to their liking. The staff were always friendly, helpful, and attentive. We especially enjoyed the beautiful beach, the large pools, and the diverse entertainment program. The rooms were also clean and comfortable. Overall, we had a fantastic time and would definitely recommend the hotel. We would love to come back!",20 hours ago,2026-08-03,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT21aR2FFODJaWFUwUlhaNVFtbHhUM2xVUkVseE1rRRAB
Grzegorz,5.0,,21 hours ago,2026-08-03,,,Local Guide · 7 reviews · 25 photos,Ci9DQUlRQUNvZENodHljRjlvT2tOTlFrVlFZMTlXUW5SQ1JXZDNhVEpxZVhrNE0yYxAB
İstanbulenergy Drink,5.0,"The hotel is very nice, the staff are very attentive and friendly, especially a young man in the restaurant, if I remember correctly his name was Gergen. Even though it wasn't dinner time, he brought us food because we were hungry and took care of us. He was so friendly that I felt the need to write this review. Also, we called room service to raise the portable bed in the room, and they came and changed the bed immediately, without any complaints or grumbling, with a smile and attentiveness. I guess we've become so used to not receiving good service despite paying for it that the service here made me very happy.",a day ago,2026-08-03,,,4 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pCSVQzSmFWbmM0WWpKcFdXOVhVR0paWkRoSWRtYxAB
FATMA POLAT,5.0,,a day ago,2026-08-03,,,2 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT25OS2JUQjBTekJtVjJ4cFZUZDFNMWhvVFdGMFRGRRAB
Murat Isbilir,5.0,,a day ago,2026-08-03,,,Local Guide · 15 reviews · 4 photos,Ci9DQUlRQUNvZENodHljRjlvT214MGFHMWxUV1pLVFUwMFMyTXdNM0JYYms5elUyYxAB
