Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Mehmet Toprak,5.0,,9 minutes ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT2pSR01qQnhNMFl3TFZwMVJWVjZUVFZ4Y1U1Zk5HYxAB
Gultekin Hesenzade,5.0,Very beautiful animation is very beautiful,24 minutes ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT21KbVYyOVBUM1ZhUzFWdlVFMUxkbE51U1hkeFJrRRAB
Okan Dokuyucu,5.0,,28 minutes ago,2026-08-04,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pad2Mza3lRakEyTkUxRFRsOUtVRmh0UTJWcGVFRRAB
Qwe Qwe,5.0,,28 minutes ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT2xWVVpVeDRhRU5tWjBNd2RYWlBUMWt4VDBNMlMyYxAB
Narin Bıyıklı,5.0,"We were very pleased and would like to thank all the staff for their excellent service throughout our stay. Thank you very much to everyone, we plan to come again next year. Thank you Crystal Waterworld family.",33 minutes ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT2s5eGNHcDZNbTk2Y25sVlUxcGhOVWMwUWpoclgxRRAB
Yusuf Kılıç,5.0,,40 minutes ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT25odmJHMWtkMlZXVm0xM05XUndVbXN3TldSWGMxRRAB
X,4.0,"Positive aspects:
We had a problem with the room, but thankfully they changed it immediately.

You'll never go hungry; there are snack bars everywhere you look.
The food is varied and very delicious.
Negative aspects:
The hotel is very, very large (I'm not sure if this is a negative, you decide). It's incredibly spacious (18 acres and 3500 people capacity), you can walk and walk and never finish.

If your room is in the main building, you'll be comfortable, the rooms are clean and close to everything, but if it's not in the main building, you're out of luck.
The rooms in the main building are very clean and even have different concepts.

The sea is choppy.

There's no valet parking.

Finding a sun lounger by the pool or the sea is difficult.

In the dining hall, you have to walk around with your plate for 15-20 minutes to find a table.

My suggestion for the hotel:
The music in the main pool could be a little quieter.

But despite all the negatives, it was a great holiday. Thank you, Waterworld.",an hour ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT2xvM1FubENZalUzYWtwRlVHaEZUR0o2VEhWU05sRRAB
Mehmet Calisir,4.0,,7 hours ago,2026-08-04,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT25OVlRXaHhiRnBzV1hoMFNFbzVhVWh3WTBadFJIYxAB
Büşra Kılıç,5.0,"We are leaving our family vacation very happy. From the moment we first checked in, we felt very comfortable and safe. I would especially like to thank Ms. Nasım from guest relations; her smiling face and attentiveness were truly wonderful. It's a hotel that can be chosen with peace of mind, especially for families with children. Our daughter also had a wonderful time here, and her sadness at leaving was the best indication of that. We sincerely thank the entire team for their efforts. We hope to see you again soon. ❤️",10 hours ago,2026-08-04,,,,Ci9DQUlRQUNvZENodHljRjlvT2psdFgyNU9UakpITFZwUlJIRk9iVE42Vm14RVNuYxAB
Volkan Sergec,1.0,"This was the dirtiest hotel I've ever stayed in during my years on vacation. The towels and sheets were stained and disgusting. Despite reporting the situation to reception three times, we didn't even get a response. We didn't go into the pool because of the strong chlorine smell; thankfully we didn't, as some of the children had become ill. The dining hall was full of flies, even on the food. I'm not sharing the photos I took because it would be too much for your stomach. The only positive thing was that the staff tried to be friendly despite the crowds.",11 hours ago,2026-08-04,,,7 reviews,Ci9DQUlRQUNvZENodHljRjlvT2t4RFNtMU9YMkpVZDIxNWFFWlJjM3A2WmpKSVptYxAB
Özkan Kaya,3.0,"I stayed with my family from July 27th to August 1st, 2026. Finding a table in the main restaurant is a struggle, and getting the table cleaned requires another effort. The aquaparks are full of people waiting in line with boats all the way to the stairs. There is extreme overcrowding and insufficient staff, so some of the employees are unhappy under the workload... The free à la carte option is not logical for both short and long-term guests; there are queues at the doors of the à la carte restaurants, and even when you get inside, there is a rush because you don't have time to get to the refreshments. The bathrooms in the rooms definitely need renovation; they are old and worn, and even with cleaning, it's not very noticeable...
This was my first time staying at Crystal Waterworld with my family, and I'm not sure if I would go again because I don't want to spend so much money on vacation and then struggle to eat and use the aquapark; I believe I can use the time and budget I allocated for relaxation more efficiently...",11 hours ago,2026-08-04,,,5 reviews,Ci9DQUlRQUNvZENodHljRjlvT25wT1YwYzFOM0JFUjJ4Vk1ITlhjMmRQZURKUldtYxAB
Aya Djebli,5.0,excellent,12 hours ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT2w5RFpYbDJOemRVUWxKbVZGcExORU0yWVVSa1YyYxAB
Imene Djebli,5.0,Perfect,12 hours ago,2026-08-03,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2paTExYUldNVWc0Ym1KTWNGQlNSR2x0WmpCZk5rRRAB
berika80,5.0,"We would like to thank Ms. Elif at the reception and Chef Sedat at the fish à la carte restaurant for their attention and care, and we recommend it for families with children.",12 hours ago,2026-08-03,,,Local Guide · 22 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT21kbmMzSlZiMlJqUm5wbFdGOVlTMkkwTmxKdWJrRRAB
