Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Елизавета,5.0,"A fantastic hotel! We stayed with friends, and everyone was impressed. The food was fantastic, including sushi day, crayfish, and other seafood, including grilled salmon every day. The drinks were fantastic, and I was especially impressed by the menu with a huge selection. There's also a Starbucks right on the hotel premises, and the coffee is delicious (there's also a cafeteria with incredible desserts)! I'd like to give a special thanks to the entertainment team (especially Emmanuel, Mahabat, and Emirkhan). I attended almost all the activities—they were incredible, especially the darts, aqua, and morning gymnastics. The service also deserves special praise; the team always keeps guests full! Overall, I recommend this hotel to everyone; you definitely won't regret it.",11 hours ago,2026-08-04,,"Dear guest,

Thank you for your wonderful review and high rating!

We are delighted that you were satisfied with the variety of cuisine, drinks, desserts, the hotel atmosphere, and the work of our team. We are especially pleased that the entertainment program and daily activities made your stay unforgettable. Your kind words will be passed on to the relevant departments.

Thank you for your recommendation. We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT21WblEzbFpUVkJyT0dsTFNrSkpOV2MxU0MxeFJrRRAB
Serdar Ocak,5.0,"It is one of the best hotels I have been to. The staff is super nice and helpful. Their animation show is good for both children and adults. Emirhan was a super boy, always happy and had good communication with the guests. The rooms were clean and the food was also good. Best of all was that you were close to everything in Antalya.",13 hours ago,2026-08-03,,"Dear Guest,

Thank you for your fantastic review!

We are delighted to hear that you had such an enjoyable stay and that you appreciated our friendly and helpful team, entertaining animation program, clean rooms, delicious food, and our convenient location. Your kind words about our animation team will be shared with the relevant department with great pleasure.

We truly appreciate your recommendation and look forward to welcoming you back to Megasaray Hotels for another memorable holiday.

Kind Regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",9 reviews,Ci9DQUlRQUNvZENodHljRjlvT21oR09IcERTWGRNYjI1M0xVaHZNbGh0V25OUFJFRRAB
Fevziye Ocak,5.0,We were incredibly pleased with our week-long vacation. The best feature of the hotel is its animation. The evening shows and live music are very enjoyable. The daytime activities and games keep you entertained all day long. The animators' language skills and approach to guests are very professional. I would like to thank Emirhan from the entire animation team. I recommend it to everyone.,13 hours ago,2026-08-03,,"Dear Guest,

Thank you for your kind comment and recommendation.

We are very pleased that you were satisfied with our animation team, daytime activities, evening shows, and live music programs. Your kind words about our team will be gladly shared with our relevant department.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT2xNM1EwNVpPSEp0ZDJFMk16WjJhRGRJWjB0bE5rRRAB
Татьяна Сычева,5.0,"Good afternoon! If you're looking for a holiday in Turkey, we highly recommend the Megasaray Hotel in Antalya.
The service here is exceptional. The staff is fantastic! The cuisine caters to every taste: meat, fish, fruit, vegetables, and juices. Fish is even grilled. A huge selection of dishes awaits everyone.
Furthermore, there are several dining options on site: fast food, ice cream, pizza, and even pastries and cakes! Smoking areas are also available. The restaurant and bars offer a wide selection of drinks, both alcoholic and non-alcoholic. The alcohol is of high quality.
The entertainment team is fantastic. Everyone will find something to do: exercise, aerobics, aqua aerobics, darts, and water polo! And every evening there's a program for children, then for adults: various shows, live music, or karaoke.
Special thanks to Elina and Emmanuel! Lively, cheerful, and enthusiastic entertainers! They ask how guests are doing every day and keep guests engaged. Entertainment! Vacations with them are truly unforgettable!
We'd also like to mention Kenan and his partner, Kubelay. They're great guys who work in the bar and restaurant. Before you've even sat down, they're coming over and asking what you'd like to drink. They resolve any issue immediately, without delay! Besides being responsive, they're also very personable!
The hotel speaks three languages: Turkish, Russian, and English! We understand each other! Guests come from all over the world! The atmosphere is welcoming.
The Mediterranean Sea is clean and clear; even in the dark, you can see the bottom. There's no trash, jellyfish, or dirt!
The hotel itself is clean and comfortable, and it's cleaned daily! The in-room bar is regularly restocked! And the wonderful cats—we counted five of them—are a perfect addition to the decor!
If you're planning a vacation, stay at the Megasaray Hotel.",20 hours ago,2026-08-03,,"Dear Guest,

Thank you for such a detailed and wonderful review. We are delighted that you highly praised the level of service, the work of our team, the variety of food and beverages, the entertainment program, and the overall atmosphere of our hotel. We are especially pleased that you noted the attentiveness and care of our staff, as well as the recreational opportunities for guests of all ages and interests.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT25GWk5WWllkWGRwV2pnd01qSk1ibWN0VXpkUU0zYxAB
Canan Kılıç,5.0,"We booked this hotel for 2 nights with very low expectations, but ended up staying for 5 and thoroughly enjoyed it. I even thought, ""We shouldn't have chosen this hotel sooner!"" The entire staff was fantastic from check-in to check-out. The rooms are lovely and the view is magnificent. The beach area is also quite enjoyable. The bar and dessert section are excellent. You can't go hungry at the hotel; there's always something to eat, and it's all delicious. My only suggestion is that the meze selection could be slightly improved, and the evening events could be a bit longer. The shows were good, but they felt a little short. The beach service and the distribution of food were also a nice touch. The snack bar was very enjoyable, and the hotel's retro design is quite colorful. It will definitely be among my top choices in the Antalya region. It's also in the center of Konyaaltı, so you can easily reach everywhere.",21 hours ago,2026-08-03,,"Dear Guest,

Thank you for sharing your feedback with us. We are very pleased that you extended your stay and enjoyed your holiday, and that you commented positively on our team's service, our rooms, the view, our beach area, our food & beverage options, and the overall atmosphere.

Your valuable opinions regarding the meze selection and evening activities have also been shared with our relevant teams for consideration.

We would be delighted to welcome you and your family again.

Sincerely,

Ayla Akbarova
Customer Relations Management
Megasaray Hotels",Local Guide · 74 reviews · 10 photos,Ci9DQUlRQUNvZENodHljRjlvT2xaaGNISlhjMmh5WVRaRlRHeHhjR1pHWjJKUk5YYxAB
Tudor Patrascu,5.0,Great food and service!,23 hours ago,2026-08-03,,"Dear Guest,

Thank you for your review. We are delighted that you enjoyed our food and service. Your kind words are greatly appreciated and encourage us to continue providing memorable experiences for our guests.

We would be happy to welcome you again at Megasaray Hotels.

Best regards,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",6 reviews · 8 photos,Ci9DQUlRQUNvZENodHljRjlvT2xKeE9WUlFXRzVyVlVrdGRIZEZTRmRyZFdacWVIYxAB
prentis,5.0,Hotel is not the newest but the service and people working there are really polite and friendly. Definitely would return...,a day ago,2026-08-03,,"Dear Guest,

Thank you for your review. We are pleased that you appreciated the friendly approach and attentive service provided by our team. Your kind words motivate us to continue offering a comfortable and enjoyable experience for our guests.

We would be happy to welcome you again at Megasaray Hotels.

Best regards,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT2t0Rk5YTk5NMmd3YkZsdVNWZzBUMXB1VFVvMWExRRAB
VoLKaN GöKErTi,1.0,You cannot close a public beach. We are fed up with these institutions disregarding human rights. Please leave the beaches.,a day ago,2026-08-03,,,Local Guide · 29 reviews · 10 photos,Ci9DQUlRQUNvZENodHljRjlvT2tnM1VHWkZZVUZrWTNwdFdWRnlXVWswYjFaSVNVRRAB
Екатерина Дешковец,5.0,"I left feeling depressed 😞
I rate this hotel 5 stars, and there's a reason for that:

The staff is polite, always responsive to requests and resolves issues quickly. Nice people at reception.

The food is delicious and varied. The buffet, food court, and bar definitely won't leave you hungry 😄
Some of the most delicious desserts.

Clean sea and beach, wonderful pool, beautiful views from the windows.

During my 10-day stay, I didn't feel like going anywhere. Each day has a program designed to keep me busy.

The morning exercises are relaxed, which motivated me to work on my body.

Aqua aerobics is a whole other story 😄
Fun full-body exercises in the pool with music. Afterward, you treat everyone like your best friends, it's so cool 👍

Step aerobics tests your body's endurance; it's tough, but I love it.

The Flexi Bar offers some pretty unusual full-body exercises; I saw it for the first time here at the hotel 😌
You can ride a bike along the promenade, a truly beautiful sight.
Compete in darts 🎯
The trampolines and bikes in the pool were a fantastic experience.

I'd also like to thank the animators, they're cheerful, positive people, always willing to help and offer advice. Over the course of 10 days, they've become like family.
I'll miss them 🥲

I'd love to come back again 😍",a day ago,2026-08-03,,"Dear Guest,

Thank you for your review. We are glad you enjoyed the food, entertainment, varied activity program, and attentive service of our team. We are especially pleased that the atmosphere of our hotel provided you with a memorable experience and made your stay comfortable and memorable.

We look forward to welcoming you back to our hotel.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 photo,Ci9DQUlRQUNvZENodHljRjlvT2pWRWJrbHVOVk5uWkhwWVJ6bHJUVXhPVm5GRFNVRRAB
Marianna Palmieri,5.0,"The entertainment team truly deserves a five-star review!
They worked tirelessly every single day, from morning activities to evening shows, yet they always had endless energy, big smiles, and made every guest feel welcome.
A special thank you to Emirhan, who really stood out. He is an incredibly skilled dancer, a fantastic communicator, and always so friendly and approachable. His positive attitude and genuine enthusiasm made every activity and performance even more enjoyable. He has such a warm, charismatic presence and is a real credit to the entertainment team.
The whole team created a fun, lively atmosphere without ever being pushy, and it was clear how much passion they put into making everyone's holiday special. Thank you all for your hard work, dedication, and unforgettable performances. You made our stay even more memorable!",a day ago,2026-08-03,,"Dear Guest,

Thank you very much for your wonderful review and for taking the time to share your experience.

We are delighted to hear that our entertainment team made such a positive impact on your holiday. It is especially rewarding to know that their enthusiasm, professionalism, and dedication helped create a fun and welcoming atmosphere throughout your stay. Your kind words will be shared with the relevant department with great pleasure.

We truly appreciate your support and look forward to welcoming you back to Megasaray Hotels for another memorable holiday.

Kind Regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",6 reviews · 6 photos,Ci9DQUlRQUNvZENodHljRjlvT2tGRlJIaEZWbTlEY1daZlltbGxWMFp5ZERoVFpGRRAB
